date,desk1,desk2
2025-07-28,16084.66,-128633.74
2025-07-29,-5152.17,-101004.82
2025-07-30,10402.73,45063.66
2025-07-31,-73886.39,29528.50
2025-08-01,64166.02,68687.31
2025-08-04,-44556.11,-98445.88
2025-08-05,38690.98,-21787.01
2025-08-06,-6960.88,60783.26
2025-08-07,-5033.46,71970.13
2025-08-08,22608.43,-78971.34
2025-08-11,24054.04,89128.97
2025-08-12,20748.77,-27822.35
2025-08-13,28349.28,-55031.18
2025-08-14,-34207.80,39131.14
2025-08-15,12023.33,52960.54
2025-08-18,-53928.00,-97202.77
2025-08-19,-9722.31,-23710.03
2025-08-20,-47451.98,84528.70
2025-08-21,15662.60,58811.34
2025-08-22,13739.35,-32051.34
2025-08-25,-37990.49,27154.55
2025-08-26,-48866.93,63469.48
2025-08-27,-24725.34,195757.92
2025-08-28,55359.78,-69226.38
2025-08-29,-27313.65,59502.12
2025-09-01,-106742.02,-39634.43
2025-09-02,-44550.35,-20597.74
2025-09-03,4759.94,16982.89
2025-09-04,-35497.37,-47362.28
2025-09-05,-1905.91,-65513.08
2025-09-08,31736.79,-83116.26
2025-09-09,9418.00,57909.80
2025-09-10,54500.67,-86692.04
2025-09-11,-26355.81,-30090.41
2025-09-12,-9114.13,-6305.91
2025-09-15,2882.21,56941.07
2025-09-16,37430.31,36415.88
2025-09-17,35028.35,-36632.88
2025-09-18,68078.66,7447.58
2025-09-19,47649.55,2478.40
2025-09-22,9798.32,146324.44
2025-09-23,-50939.73,-8620.48
2025-09-24,90735.59,72427.09
2025-09-25,63558.43,-43215.66
2025-09-26,-50959.48,3788.54
2025-09-29,82127.20,22199.54
2025-09-30,-53596.04,22174.03
2025-10-01,-56216.38,117142.54
2025-10-02,-43579.21,-13011.24
2025-10-03,-63624.28,-178650.91
2025-10-06,-18709.34,25129.26
2025-10-07,-96569.47,8415.24
2025-10-08,16025.19,-8007.96
2025-10-09,-2529.61,-54119.17
2025-10-10,-46695.78,-24621.63
2025-10-13,-2143.09,-14050.25
2025-10-14,9576.25,190089.12
2025-10-15,-89827.75,65056.79
2025-10-16,-46935.39,8799.82
2025-10-17,52195.93,25329.96
2025-10-20,-67785.89,-74960.14
2025-10-21,10269.90,-40997.09
2025-10-22,-113430.11,5195.86
2025-10-23,-30814.01,-127498.83
2025-10-24,-68024.61,-1980.37
2025-10-27,-58851.94,60979.38
2025-10-28,-71090.28,-48870.86
2025-10-29,-49364.97,-19437.13
2025-10-30,-51198.85,6201.03
2025-10-31,-52146.50,6389.22
2025-11-03,-2403.80,22307.00
2025-11-04,-14510.70,22369.37
2025-11-05,-9374.69,82756.34
2025-11-06,49193.77,-53267.16
2025-11-07,-47019.80,-84956.33
2025-11-10,41029.95,-62324.29
2025-11-11,27879.94,12087.13
2025-11-12,-21145.81,-109677.56
2025-11-13,-21306.87,-43485.67
2025-11-14,-25603.42,3676.63
2025-11-17,19918.14,8117.43
2025-11-18,52022.39,6162.18
2025-11-19,-42290.89,-44985.52
2025-11-20,13213.66,-188423.42
2025-11-21,-17516.43,-17980.99
2025-11-24,6675.70,-19498.45
2025-11-25,-9678.00,-46763.95
2025-11-26,-83704.43,-74261.31
2025-11-27,-34585.01,-23476.38
2025-11-28,-55341.51,8354.87
2025-12-01,64460.90,-12042.60
2025-12-02,-8765.85,13347.65
2025-12-03,31716.30,-26109.36
2025-12-04,-21401.23,10012.97
2025-12-05,-59221.61,51575.16
2025-12-08,-67018.05,-8708.66
2025-12-09,-56662.62,-59093.04
2025-12-10,20474.74,-34286.10
2025-12-11,26758.04,79999.88
2025-12-12,14931.78,-39105.38
2025-12-15,-22239.25,-20599.14
2025-12-16,-34145.77,1377.53
2025-12-17,-40119.91,-66292.03
2025-12-18,42762.33,112941.06
2025-12-19,-12969.91,-14041.58
2025-12-22,-29704.13,12124.82
2025-12-23,6342.69,-24160.96
2025-12-24,27000.82,93593.21
2025-12-25,-16300.78,-21993.25
2025-12-26,-20642.58,-795.67
2025-12-29,39738.95,151659.42
2025-12-30,-36166.75,-91255.11
2025-12-31,1030.60,-52430.73
