date,desk1,desk2,desk1_ir,desk2_eq,desk2_fx,desk2_cr
2025-05-26,18138.01,89672.00,18138.01,56328.40,37397.54,-4053.94
2025-05-27,-38539.66,-20782.59,-38539.66,7378.57,-28382.05,220.89
2025-05-28,21326.92,-95054.38,21326.92,-110227.12,11348.99,3823.75
2025-05-29,35929.47,64728.19,35929.47,39528.82,6440.86,18758.51
2025-05-30,69581.06,-102090.83,69581.06,-110073.67,16461.39,-8478.55
2025-06-02,25903.49,31669.78,25903.49,-11835.85,33714.87,9790.76
2025-06-03,-8961.26,70686.46,-8961.26,49533.65,-2192.33,23345.14
2025-06-04,-35102.32,58205.80,-35102.32,-9770.11,42170.77,25805.14
2025-06-05,57141.74,-10437.94,57141.74,11781.16,-4845.07,-17374.03
2025-06-06,-67023.28,-68948.84,-67023.28,-30463.88,-41252.79,2767.83
2025-06-09,-13644.96,-14283.46,-13644.96,9384.77,-30002.65,6334.42
2025-06-10,15385.29,-43095.22,15385.29,-2921.15,-39632.45,-541.62
2025-06-11,48225.71,-10972.68,48225.71,-19956.75,18205.54,-9221.47
2025-06-12,-17353.74,-38903.59,-17353.74,-18191.76,-8839.39,-11872.44
2025-06-13,4200.10,-17618.11,4200.10,-40916.81,21751.19,1547.51
2025-06-16,-18382.32,-45719.37,-18382.32,5809.77,-40439.67,-11089.47
2025-06-17,-10552.77,-100723.23,-10552.77,-68690.47,-15859.99,-16172.77
2025-06-18,-41070.95,-74239.69,-41070.95,-49971.76,-37987.16,13719.23
2025-06-19,57469.73,-14585.05,57469.73,-59522.18,15227.45,29709.68
2025-06-20,29515.04,-15807.25,29515.04,20757.14,-16222.36,-20342.03
2025-06-23,-24437.72,6224.43,-24437.72,-4394.99,21041.58,-10422.16
2025-06-24,53188.08,-80721.45,53188.08,-60825.28,-10627.69,-9268.48
2025-06-25,20994.78,-43629.05,20994.78,5297.60,-25358.64,-23568.01
2025-06-26,59152.44,-8832.83,59152.44,-18256.54,-5035.92,14459.63
2025-06-27,33226.98,36771.15,33226.98,17980.55,25048.73,-6258.13
2025-06-30,70731.91,-66437.40,70731.91,-65867.34,-9688.12,9118.06
2025-07-01,-43118.88,26692.71,-43118.88,42037.80,-24425.64,9080.55
2025-07-02,-35828.42,-69427.29,-35828.42,-64569.16,-4382.17,-475.96
2025-07-03,-62523.85,-52409.40,-62523.85,-59317.19,3158.71,3749.08
2025-07-04,-24226.37,1017.50,-24226.37,26093.72,4923.25,-29999.47
2025-07-07,12082.53,-29123.68,12082.53,-5713.43,-16018.15,-7392.10
2025-07-08,-52959.39,35239.24,-52959.39,14953.78,160.24,20125.22
2025-07-09,-30074.59,-2250.37,-30074.59,13487.20,-20681.02,4943.45
2025-07-10,5861.30,64344.80,5861.30,60696.57,1028.76,2619.47
2025-07-11,-49393.52,-16849.39,-49393.52,-26714.73,6331.59,3533.75
2025-07-14,40387.81,-54711.93,40387.81,-29365.17,-14665.14,-10681.62
2025-07-15,-21279.46,-26127.06,-21279.46,-19927.20,-7969.62,1769.76
2025-07-16,-17462.90,5591.60,-17462.90,-54588.75,35981.12,24199.23
2025-07-17,6748.85,118315.80,6748.85,85268.87,20385.04,12661.89
2025-07-18,-14637.19,-93039.82,-14637.19,-66807.96,-39293.09,13061.23
2025-07-21,29263.12,1436.58,29263.12,-36672.59,10946.79,27162.38
2025-07-22,31276.65,9222.12,31276.65,-1219.71,3361.68,7080.15
2025-07-23,-12490.88,-13239.80,-12490.88,-15608.86,-450.19,2819.25
2025-07-24,71018.84,-87765.24,71018.84,-52401.90,-37444.96,2081.62
2025-07-25,-39124.31,40680.10,-39124.31,69944.56,-22797.86,-6466.60
2025-07-28,11921.70,-96329.22,11921.70,-94760.35,-3068.66,1499.79
2025-07-29,-713.45,-78428.89,-713.45,-56031.75,-15231.43,-7165.71
2025-07-30,8245.57,-3268.43,8245.57,12056.01,-12953.43,-2371.01
2025-07-31,-69092.56,13157.27,-69092.56,39522.00,-23431.26,-2933.47
2025-08-01,68594.63,11725.10,68594.63,72132.60,-53587.80,-6819.70
2025-08-04,-41865.60,-120602.16,-41865.60,-105695.63,839.06,-15745.59
2025-08-05,39243.92,-50434.05,39243.92,-39124.87,-19729.51,8420.33
2025-08-06,-8063.28,59701.22,-8063.28,65439.90,-20107.24,14368.56
2025-08-07,-11719.94,68594.61,-11719.94,56977.15,22784.86,-11167.40
2025-08-08,20672.13,-70909.71,20672.13,-42381.95,-25176.92,-3350.84
2025-08-11,22848.79,68027.02,22848.79,37268.83,-10784.50,41542.69
2025-08-12,16535.39,-16107.61,16535.39,6661.22,-13405.00,-9363.83
2025-08-13,28730.16,-36591.79,28730.16,12491.36,-33710.55,-15372.60
2025-08-14,-32665.79,21965.87,-32665.79,26792.57,3414.68,-8241.38
2025-08-15,6832.74,10062.08,6832.74,-26584.13,33702.89,2943.32
2025-08-18,-52749.16,-27968.07,-52749.16,-60004.61,-2782.07,34818.61
2025-08-19,-11875.82,-30451.11,-11875.82,12404.76,-48931.93,6076.06
2025-08-20,-49061.71,90311.76,-49061.71,71022.10,16651.54,2638.12
2025-08-21,11045.00,28309.16,11045.00,-397.84,24929.66,3777.34
2025-08-22,13125.55,-45919.17,13125.55,-5143.26,-53418.96,12643.05
2025-08-25,-35299.84,50423.92,-35299.84,53832.54,4863.08,-8271.70
2025-08-26,-52293.80,57247.94,-52293.80,31283.80,50102.18,-24138.04
2025-08-27,-22973.74,120569.33,-22973.74,92244.69,21772.40,6552.24
2025-08-28,61149.41,-100539.23,61149.41,-68650.91,-26292.64,-5595.68
2025-08-29,-28511.14,29500.22,-28511.14,-1296.55,13779.10,17017.67
2025-09-01,-111609.13,-3376.27,-111609.13,-12969.28,-15610.23,25203.24
2025-09-02,-45792.51,-37431.98,-45792.51,-11091.30,-11346.52,-14994.16
2025-09-03,1841.14,3511.67,1841.14,20409.81,-21873.33,4975.19
2025-09-04,-32107.54,-65420.28,-32107.54,-62637.28,8293.69,-11076.69
2025-09-05,-4789.98,-77655.91,-4789.98,-53144.93,-28359.82,3848.84
2025-09-08,29286.43,-34235.27,29286.43,-20034.93,-2798.49,-11401.85
2025-09-09,12374.92,48014.19,12374.92,67261.61,-9863.95,-9383.47
2025-09-10,50971.02,-35310.02,50971.02,-44.42,-13580.11,-21685.49
2025-09-11,-22989.17,3403.72,-22989.17,-11950.85,-2946.16,18300.73
2025-09-12,-3657.81,-3955.07,-3657.81,-27126.96,12283.20,10888.69
2025-09-15,8276.09,30260.42,8276.09,63729.92,-974.29,-32495.21
2025-09-16,32654.27,5602.92,32654.27,-10492.15,7262.54,8832.53
2025-09-17,35874.12,-14897.74,35874.12,-21754.65,17492.04,-10635.13
2025-09-18,57554.89,1180.32,57554.89,-6579.18,15397.84,-7638.34
2025-09-19,46791.95,-22824.12,46791.95,935.93,-27235.03,3474.98
2025-09-22,5725.78,85722.11,5725.78,108839.42,-23649.55,532.24
2025-09-23,-48328.49,9813.50,-48328.49,3340.27,-4054.03,10527.26
2025-09-24,86090.16,67414.63,86090.16,-5686.07,62243.79,10856.91
2025-09-25,63162.41,-18705.74,63162.41,21725.46,-6877.64,-33553.56
2025-09-26,-38444.10,2388.70,-38444.10,-13925.92,181.48,16133.14
2025-09-29,72979.11,-3299.57,72979.11,372.22,-1427.18,-2244.61
2025-09-30,-50714.89,38241.12,-50714.89,34792.68,-1823.54,5271.98
2025-10-01,-61543.06,47188.82,-61543.06,29674.42,18500.36,-985.96
2025-10-02,-50927.76,23947.83,-50927.76,-2933.89,15788.41,11093.31
2025-10-03,-54349.37,-85601.26,-54349.37,-70671.39,-2928.74,-12001.13
2025-10-06,-8877.29,1457.08,-8877.29,38297.72,-43328.12,6487.48
2025-10-07,-93763.96,-25006.21,-93763.96,-52241.98,15398.53,11837.24
2025-10-08,17528.94,-20976.00,17528.94,11913.60,-21079.04,-11810.56
2025-10-09,1580.96,-36256.73,1580.96,-13307.34,-18217.12,-4732.27
2025-10-10,-45507.45,-22812.63,-45507.45,10833.81,-8508.81,-25137.63
2025-10-13,-4917.64,108.07,-4917.64,-23843.98,16391.90,7560.15
2025-10-14,7917.60,137006.65,7917.60,55458.19,63493.17,18055.29
2025-10-15,-85534.70,30893.10,-85534.70,57881.75,-15240.87,-11747.78
2025-10-16,-47130.89,9747.08,-47130.89,-14109.72,36353.27,-12496.47
2025-10-17,43659.42,69241.98,43659.42,65681.52,-20841.90,24402.36
2025-10-20,-68829.65,-18087.98,-68829.65,5035.05,-40709.16,17586.13
2025-10-21,10908.06,-42117.30,10908.06,-54531.61,17856.90,-5442.59
2025-10-22,-109975.57,16978.19,-109975.57,5915.68,4670.81,6391.70
2025-10-23,-25083.57,-48746.54,-25083.57,-13453.45,-25478.94,-9814.15
2025-10-24,-63791.45,-12665.08,-63791.45,26622.51,-31081.13,-8206.46
2025-10-27,-58127.61,111155.37,-58127.61,76999.92,21766.63,12388.82
2025-10-28,-70077.33,-70142.65,-70077.33,-23108.12,-48780.51,1745.98
2025-10-29,-50756.48,-6241.54,-50756.48,18612.02,359.86,-25213.42
2025-10-30,-48725.82,39150.25,-48725.82,39623.52,13170.57,-13643.84
2025-10-31,-41385.17,-21393.67,-41385.17,-32027.77,-4759.04,15393.14
2025-11-03,-6621.24,65635.10,-6621.24,28676.75,26062.14,10896.21
2025-11-04,-20431.79,5087.88,-20431.79,-5817.77,15981.50,-5075.85
2025-11-05,-13313.13,61227.89,-13313.13,30323.06,19469.63,11435.20
2025-11-06,49483.56,-6358.71,49483.56,-25044.49,16491.62,2194.16
2025-11-07,-46256.22,-47590.43,-46256.22,-30032.52,-26478.91,8921.00
2025-11-10,43682.31,-60589.16,43682.31,-18818.79,-22645.04,-19125.33
2025-11-11,18412.12,31777.13,18412.12,7298.83,28121.80,-3643.50
2025-11-12,-24707.90,-71841.07,-24707.90,-86784.57,-4371.69,19315.19
2025-11-13,-23803.16,-66510.62,-23803.16,-55669.97,-18838.64,7997.99
2025-11-14,-24319.05,-25043.69,-24319.05,-31147.20,2380.25,3723.26
2025-11-17,15262.67,18917.92,15262.67,1540.37,22274.81,-4897.26
2025-11-18,50562.07,-13052.21,50562.07,6260.54,-18464.10,-848.65
2025-11-19,-43822.62,-64532.72,-43822.62,-36063.39,-35103.96,6634.63
2025-11-20,4944.47,-169668.97,4944.47,-117676.47,-48015.48,-3977.02
2025-11-21,-16920.67,-41878.88,-16920.67,-43266.76,-4684.63,6072.51
2025-11-24,7360.25,-27239.20,7360.25,5739.34,-8726.92,-24251.62
2025-11-25,-6830.29,-18364.55,-6830.29,-15333.71,10008.34,-13039.18
2025-11-26,-79374.76,-70581.96,-79374.76,-38730.04,-8392.57,-23459.35
2025-11-27,-42024.39,-61772.77,-42024.39,-56024.35,-4040.87,-1707.55
2025-11-28,-57192.40,-40790.93,-57192.40,-36949.46,-9039.51,5198.04
2025-12-01,65359.44,-76455.07,65359.44,-58726.08,-24198.83,6469.84
2025-12-02,-3520.86,43309.41,-3520.86,45443.29,7948.46,-10082.34
2025-12-03,26550.65,-9834.94,26550.65,-8191.97,-20027.08,18384.11
2025-12-04,-29873.97,36267.60,-29873.97,44993.97,3010.46,-11736.83
2025-12-05,-53777.30,80798.44,-53777.30,33372.76,35714.86,11710.82
2025-12-08,-60895.70,33621.95,-60895.70,-13788.61,34209.98,13200.58
2025-12-09,-55941.75,-45701.40,-55941.75,-53284.95,-4776.52,12360.07
2025-12-10,13911.66,-5538.86,13911.66,17269.86,-6686.40,-16122.32
2025-12-11,29251.28,49174.47,29251.28,106792.49,-57756.02,138.00
2025-12-12,14699.34,-27491.58,14699.34,-28861.55,70.15,1299.82
2025-12-15,-22929.27,-13741.16,-22929.27,62.12,15091.03,-28894.31
2025-12-16,-32775.89,-49357.85,-32775.89,11401.20,-62138.11,1379.06
2025-12-17,-43240.06,-101715.67,-43240.06,-68385.02,-21272.61,-12058.04
2025-12-18,49537.04,33248.72,49537.04,55699.30,-25280.62,2830.04
2025-12-19,-9865.44,-37899.39,-9865.44,-23164.02,-2670.66,-12064.71
2025-12-22,-27230.11,-6054.55,-27230.11,-29005.84,20116.93,2834.36
2025-12-23,11879.08,-29326.41,11879.08,-49184.05,28892.23,-9034.59
2025-12-24,26091.70,51550.25,26091.70,73604.56,-43744.17,21689.86
2025-12-25,-7254.05,31702.16,-7254.05,24652.28,4751.30,2298.58
2025-12-26,-21147.44,4311.94,-21147.44,-14181.51,12194.21,6299.24
2025-12-29,37950.77,84514.91,37950.77,87633.10,-3623.12,504.93
2025-12-30,-37487.76,-23653.19,-37487.76,11080.57,-15022.38,-19711.38
2025-12-31,3138.65,-65082.17,3138.65,-28447.66,-22832.62,-13801.89
