date,desk1,desk2
2025-09-11,123935.04,123465.48
2025-09-12,125878.25,123336.74
2025-09-15,127800.17,122953.04
2025-09-16,129679.74,122321.82
2025-09-17,131496.37,121455.40
2025-09-18,133230.16,120370.61
2025-09-19,134862.11,119088.60
2025-09-22,136374.34,117634.29
2025-09-23,137750.29,116036.01
2025-09-24,138974.87,114324.85
2025-09-25,140034.67,112534.13
2025-09-26,140918.08,110698.70
2025-09-29,141615.42,108854.29
2025-09-30,142119.05,107036.79
2025-10-01,142423.45,105281.58
2025-10-02,142525.29,103622.82
2025-10-03,142423.45,102092.79
2025-10-06,142119.05,100721.29
2025-10-07,141615.42,99535.00
2025-10-08,140918.08,98557.02
2025-10-09,140034.67,97806.37
2025-10-10,138974.87,97297.67
2025-10-13,137750.29,97040.82
2025-10-14,136374.34,97040.82
2025-10-15,134862.11,97297.67
2025-10-16,133230.16,97806.37
2025-10-17,131496.37,98557.02
2025-10-20,129679.74,99535.00
2025-10-21,127800.17,100721.29
2025-10-22,125878.25,102092.79
2025-10-23,123935.04,103622.82
2025-10-24,121991.83,105281.58
2025-10-27,120069.90,107036.79
2025-10-28,118190.33,108854.29
2025-10-29,116373.70,110698.70
2025-10-30,114639.91,112534.13
2025-10-31,113007.96,114324.85
2025-11-03,111495.73,116036.01
2025-11-04,110119.78,117634.29
2025-11-05,108895.20,119088.60
2025-11-06,107835.40,120370.61
2025-11-07,106951.99,121455.40
2025-11-10,106254.65,122321.82
2025-11-11,105751.02,122953.04
2025-11-12,105446.62,123336.74
2025-11-13,105344.78,123465.48
2025-11-14,105446.62,123336.74
2025-11-17,105751.02,122953.04
2025-11-18,106254.65,122321.82
2025-11-19,106951.99,121455.40
2025-11-20,107835.40,120370.61
2025-11-21,108895.20,119088.60
2025-11-24,110119.78,117634.29
2025-11-25,111495.73,116036.01
2025-11-26,113007.96,114324.85
2025-11-27,114639.91,112534.13
2025-11-28,116373.70,110698.70
2025-12-01,118190.33,108854.29
2025-12-02,120069.90,107036.79
2025-12-03,121991.83,105281.58
2025-12-04,123935.04,103622.82
2025-12-05,125878.25,102092.79
2025-12-08,127800.17,100721.29
2025-12-09,129679.74,99535.00
2025-12-10,131496.37,98557.02
2025-12-11,133230.16,97806.37
2025-12-12,134862.11,97297.67
2025-12-15,136374.34,97040.82
2025-12-16,137750.29,97040.82
2025-12-17,138974.87,97297.67
2025-12-18,140034.67,97806.37
2025-12-19,140918.08,98557.02
2025-12-22,141615.42,99535.00
2025-12-23,142119.05,100721.29
2025-12-24,142423.45,102092.79
2025-12-25,142525.29,103622.82
2025-12-26,142423.45,105281.58
2025-12-29,142119.05,107036.79
2025-12-30,141615.42,108854.29
2025-12-31,140918.08,110698.70
